student_id,course_category,login_frequency_per_week,avg_session_minutes,course_progress_percent,assignments_completed,quiz_average_score,forum_interactions,video_watch_percent,device_type,dropout_risk
1,Design,14,17,51,7,60.42,14,23,Desktop,Low
2,AI & ML,8,26,1,10,77.25,33,29,Tablet,Medium
3,Business,6,26,24,1,93.46,23,82,Desktop,Low
4,AI & ML,5,99,12,7,69.77,32,92,Desktop,Low
5,AI & ML,13,150,97,3,89.48,40,34,Tablet,Low
6,Programming,4,154,50,9,64.13,40,82,Desktop,Low
7,Business,8,175,57,9,46.14,44,38,Desktop,Medium
8,Business,1,90,33,0,43.69,39,82,Tablet,Low
9,Business,14,87,34,4,43.08,26,75,Mobile,High
10,AI & ML,9,15,2,0,62.81,20,40,Desktop,Low
11,Design,1,172,58,6,60.23,4,53,Mobile,Low
12,Business,8,119,69,7,83.08,34,36,Tablet,Low
13,AI & ML,4,23,47,2,84.57,20,37,Desktop,Medium
14,Programming,9,81,63,2,43.05,3,100,Desktop,Low
15,Design,14,152,18,6,53.27,48,85,Tablet,Low
16,Programming,11,63,66,3,56.46,47,70,Desktop,Low
17,Design,5,36,81,2,72.86,15,84,Mobile,Low
18,AI & ML,3,22,72,7,48.67,30,62,Mobile,High
19,Data Science,9,168,75,2,48.04,25,76,Tablet,Medium
20,Design,11,172,4,6,96.63,34,29,Desktop,Medium
21,Programming,14,69,66,1,88.25,5,56,Desktop,Medium
22,AI & ML,14,15,10,10,50.84,32,67,Tablet,Medium
23,Design,9,67,93,10,64.39,20,88,Mobile,Low
24,Data Science,4,58,67,0,61.34,15,75,Mobile,Medium
25,Data Science,11,160,68,11,87.46,46,95,Tablet,Low
26,Business,4,171,0,5,70.61,38,55,Desktop,Low
27,Business,12,35,90,7,47.67,33,50,Mobile,Medium
28,Programming,8,56,91,0,84.34,41,74,Desktop,Medium
29,Design,2,14,62,9,63.81,14,57,Mobile,Medium
30,Design,9,29,28,11,55.78,5,92,Desktop,Medium
31,Business,13,143,81,8,62.53,1,34,Mobile,Low
32,Design,14,68,11,2,69.87,23,35,Desktop,Low
33,Design,6,155,76,2,60.59,48,96,Tablet,Low
34,Data Science,9,141,40,3,54.51,27,72,Mobile,Medium
35,Business,8,26,1,10,63.91,0,75,Tablet,High
36,AI & ML,7,23,36,0,41.15,0,26,Mobile,Low
37,Business,13,22,44,8,86.35,27,76,Mobile,Low
38,AI & ML,14,144,79,10,50.26,35,74,Mobile,Low
39,Data Science,1,137,47,2,42.63,19,71,Desktop,High
40,Programming,14,53,23,9,79.22,47,23,Mobile,Medium
41,Design,12,128,98,3,86.44,7,62,Tablet,Low
42,Data Science,3,152,21,0,88.83,0,59,Desktop,High
43,Design,11,28,99,3,69.61,25,49,Desktop,High
44,Programming,14,72,10,0,52.32,42,29,Mobile,Low
45,Programming,2,172,57,4,84.23,48,26,Desktop,High
46,Data Science,5,90,45,4,81.98,24,55,Mobile,Low
47,Programming,5,172,28,10,54.78,9,54,Tablet,Low
48,AI & ML,5,156,34,6,94.2,11,58,Desktop,Low
49,Programming,4,157,14,7,46.26,40,55,Desktop,High
50,Design,5,109,59,3,98.96,6,39,Tablet,Medium
51,Design,3,172,94,6,91.61,11,68,Tablet,Low
52,Design,12,169,41,3,81.27,46,78,Mobile,High
53,Design,1,131,42,2,96.32,39,68,Desktop,Low
54,AI & ML,5,53,79,5,83.34,16,45,Tablet,Medium
55,Business,13,113,73,3,51.43,4,55,Desktop,Medium
56,Data Science,9,161,48,2,66.53,13,62,Tablet,Low
57,Design,13,70,63,8,44.29,33,62,Desktop,Low
58,Programming,9,134,31,4,63.38,47,95,Tablet,High
59,Design,4,154,63,6,84.5,16,52,Desktop,Low
60,Programming,3,80,1,11,63.19,34,97,Mobile,Medium
61,Programming,1,116,23,5,59.82,0,64,Desktop,Medium
62,Design,2,59,86,9,75.72,49,64,Mobile,Medium
63,AI & ML,8,74,65,4,92.33,49,34,Mobile,Low
64,Programming,1,108,37,6,42.85,35,36,Mobile,Low
65,Programming,8,41,30,10,63.13,14,31,Desktop,Low
66,Design,13,173,25,5,49.49,18,41,Desktop,High
67,Programming,7,150,28,9,81.72,41,42,Mobile,Low
68,Programming,8,67,66,1,46.34,4,97,Tablet,Low
69,Design,12,137,77,2,79.89,18,31,Desktop,High
70,Design,6,151,24,1,57.17,42,87,Desktop,Medium
71,Data Science,12,174,47,11,51.94,38,70,Desktop,Low
72,AI & ML,14,121,64,2,96.18,4,32,Desktop,High
73,AI & ML,9,77,52,0,41.11,11,76,Mobile,Medium
74,Programming,3,49,66,7,66.27,18,74,Tablet,Low
75,AI & ML,10,153,89,5,41.3,46,47,Tablet,Low
76,Programming,4,141,17,1,69.02,11,63,Tablet,Medium
77,Data Science,13,99,8,7,70.06,35,38,Tablet,Medium
78,Design,6,37,37,5,59.3,11,65,Mobile,Low
79,Design,8,105,86,6,47.93,17,22,Desktop,Low
80,Design,5,40,20,10,62.58,48,39,Desktop,Low
81,AI & ML,3,12,64,0,80.34,47,44,Mobile,Medium
82,Data Science,6,145,20,6,86.94,42,94,Desktop,Low
83,AI & ML,4,33,26,2,71.85,33,75,Mobile,Low
84,AI & ML,9,24,69,10,75.39,47,100,Tablet,Medium
85,Data Science,13,168,43,11,52.04,32,80,Mobile,Medium
86,Data Science,3,54,99,7,57.24,48,74,Desktop,Medium
87,Data Science,4,17,27,5,49.71,17,54,Desktop,Low
88,Data Science,7,80,44,3,54.96,28,97,Desktop,Low
89,Design,7,117,16,10,53.49,44,78,Tablet,Low
90,Business,12,124,39,7,71.17,4,58,Mobile,High
91,Business,12,112,2,8,73.76,24,76,Mobile,Medium
92,Data Science,4,134,75,9,96.7,23,86,Desktop,Low
93,Business,6,66,75,1,51.73,28,53,Mobile,Low
94,Business,12,39,65,5,78.5,37,60,Desktop,Medium
95,Data Science,13,155,45,4,89.04,32,41,Mobile,Medium
96,Business,3,123,85,4,73.61,9,46,Tablet,Low
97,AI & ML,6,126,86,9,55.3,36,40,Tablet,High
98,Programming,12,176,29,10,55.75,32,60,Mobile,Medium
99,Programming,2,69,68,2,42.36,22,50,Tablet,Medium
100,Data Science,8,107,8,11,58.33,10,46,Tablet,High
101,Design,2,135,84,7,84.68,23,56,Tablet,Medium
102,Data Science,11,160,10,7,42.85,23,85,Desktop,Medium
103,Design,7,103,68,11,53.16,6,73,Mobile,High
104,Programming,9,143,98,4,82.37,49,28,Mobile,Low
105,Data Science,1,131,90,7,86.96,20,61,Desktop,Low
106,AI & ML,8,117,65,9,67.32,19,55,Desktop,High
107,Business,7,13,87,7,81.88,9,29,Tablet,Medium
108,Design,6,102,30,2,63.28,24,78,Mobile,High
109,Business,6,160,32,1,49.59,46,59,Desktop,Low
110,Business,6,15,38,8,63.89,35,73,Tablet,Medium
111,Data Science,9,41,93,1,74.8,47,58,Mobile,Low
112,Business,2,115,45,8,96.88,46,26,Tablet,Medium
113,AI & ML,1,155,36,3,44.13,14,23,Mobile,Low
114,Business,13,24,91,11,70.44,43,34,Tablet,Low
115,Data Science,12,177,59,1,59.74,39,95,Mobile,Low
116,AI & ML,6,131,30,9,70.5,39,67,Mobile,Medium
117,Programming,10,105,10,0,41.44,49,25,Mobile,Low
118,Business,11,15,86,3,58.78,5,92,Mobile,Low
119,Data Science,8,121,1,8,89.19,36,54,Tablet,Low
120,Programming,3,129,26,11,73.24,1,91,Desktop,Low
121,Programming,12,132,98,8,67.03,11,90,Mobile,High
122,Design,10,76,1,3,57.13,3,87,Mobile,Low
123,AI & ML,1,115,100,8,57.88,22,77,Mobile,Low
124,Business,9,148,20,11,62.99,12,96,Mobile,High
125,Data Science,13,52,57,5,90.13,16,38,Tablet,Medium
126,Design,13,154,4,0,98.03,30,81,Desktop,Medium
127,AI & ML,1,105,51,9,66.32,15,90,Desktop,Medium
128,Design,3,141,44,5,63.6,40,29,Desktop,High
129,AI & ML,8,90,84,8,90.79,25,44,Tablet,Low
130,AI & ML,14,50,92,1,65.61,27,63,Desktop,High
131,Business,3,142,19,5,73.12,0,77,Tablet,High
132,AI & ML,13,169,60,1,53.86,46,44,Tablet,Medium
133,Design,4,44,37,3,84.61,11,95,Mobile,Medium
134,AI & ML,8,31,19,7,71.92,36,59,Tablet,Medium
135,Business,1,159,24,6,88.54,49,95,Desktop,Low
136,Business,13,121,1,10,86.84,19,89,Desktop,Low
137,Design,13,20,31,11,52.9,1,29,Desktop,High
138,Programming,6,12,25,8,82.94,35,85,Mobile,Medium
139,Programming,1,146,69,6,88.0,14,44,Mobile,Low
140,AI & ML,14,69,40,0,60.77,37,90,Mobile,Medium
141,Data Science,1,85,66,1,50.36,21,30,Tablet,Medium
142,AI & ML,14,96,96,5,40.16,43,55,Desktop,Low
143,Design,8,23,0,6,67.05,49,68,Tablet,Medium
144,Design,11,27,50,2,61.15,31,67,Tablet,Medium
145,Design,4,122,4,8,73.29,19,26,Desktop,Low
146,Design,12,82,12,6,51.28,35,96,Mobile,High
147,Design,1,32,18,5,91.58,32,70,Desktop,Low
148,Business,10,92,11,5,55.47,14,36,Tablet,Low
149,Programming,7,134,47,0,53.59,49,51,Tablet,Low
150,Design,5,78,24,4,68.84,45,45,Mobile,Medium
151,Data Science,5,56,56,9,69.93,2,41,Tablet,Low
152,Data Science,1,125,34,2,52.91,28,32,Tablet,Low
153,Data Science,14,39,75,6,56.31,46,31,Desktop,High
154,Data Science,10,34,93,9,50.18,26,90,Mobile,Low
155,Business,11,165,4,2,83.11,4,20,Desktop,Medium
156,Data Science,6,121,97,4,86.21,30,52,Desktop,Medium
157,Design,14,34,21,6,67.74,21,33,Desktop,High
